Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
,5.119575,-0.101923,1.022225,4.036022,0.010755,0.004135,0.005704,2.386265,
,4.767066,0.392203,1.346926,3.936659,0.011206,0.006824,0.003837,3.063407,
,5.100825,0.005285,1.19195,3.00904,0.009301,0.002915,0.004986,3.944034,
,4.138902,-0.000286,1.437172,3.228477,0.041692,0.00512,0.003155,2.681031,
,4.835641,-0.088451,1.112619,3.035347,0.094573,0.002268,0.00306,2.99336,
,4.788495,0.003115,0.992328,2.389192,0.008651,0.01826,0.004259,6.539001,
,4.719543,0.002741,1.079222,2.632657,0.011475,0.002235,0.006558,3.603242,
,5.372533,0.006307,0.98919,2.719712,0.009031,0.002141,0.00732,2.989102,
,4.865326,0.005495,1.03218,3.497998,0.011248,0.003142,0.003266,4.556159,
,5.035406,0.011359,1.343625,3.709485,0.011105,0.009268,0.004269,4.422226,
,4.868732,-0.071497,1.351624,3.365381,0.015963,0.001889,0.003731,2.02272,
,4.949471,-0.109161,1.031175,3.996658,0.018761,0.006226,0.007002,3.82999,
,5.298355,0.004033,1.936009,3.486319,0.006992,0.006393,0.004008,2.017526,
,151.876153,-0.000597,1.624931,3.640526,0.008676,0.001889,0.004074,3.281261,
,4.912962,-0.098026,1.838987,3.796006,0.009219,0.002883,0.004858,1.539097,
,4.831149,0.001558,1.482067,5.87885,0.019791,0.001944,0.003757,3.51613,
,4.624825,0.010654,1.021651,4.015922,0.007731,0.00195,0.007216,3.913436,
,4.72155,-0.00593,1.005437,2.893314,0.01531,0.009773,0.006354,1.808359,
,4.998056,0.483186,1.349325,2.904114,0.008199,0.003606,0.003768,2.190764,
,5.50285,0.002586,1.016463,3.824912,0.019576,0.003448,0.00652,3.635745,
,4.808039,-0.001228,1.300801,6.513799,0.008437,0.176339,0.005435,2.562571,
,4.756088,0.004811,1.450603,3.309773,0.00932,0.003243,0.006898,6.603481,
,4.757851,0.005162,1.256328,2.858562,0.013119,0.013339,0.005795,3.307348,
,4.853875,1.333908,1.768569,3.033543,0.017059,0.047125,0.012202,3.087766,
,5.113399,0.003348,1.713371,2.029433,0.013246,0.010564,0.005616,3.181599,
,5.101435,0.003118,1.638832,2.683202,0.036704,0.004076,0.005267,3.517744,
,5.171403,-0.101878,1.975294,1.838093,0.010249,0.003162,0.005043,3.334249,
,4.738765,60.332291,1.745919,1.924065,0.017844,0.006302,0.004328,4.730826,
